date,period,year,quarter,total,apartment,scheme,single,total_12m
2011-01-01,2011-01,2011,2011Q1,506.0,46.0,128.0,332.0,506.0
2011-02-01,2011-02,2011,2011Q1,637.0,81.0,157.0,399.0,1143.0
2011-03-01,2011-03,2011,2011Q1,732.0,145.0,162.0,425.0,1875.0
2011-04-01,2011-04,2011,2011Q2,628.0,80.0,178.0,370.0,2503.0
2011-05-01,2011-05,2011,2011Q2,540.0,83.0,73.0,384.0,3043.0
2011-06-01,2011-06,2011,2011Q2,623.0,54.0,129.0,440.0,3666.0
2011-07-01,2011-07,2011,2011Q3,557.0,26.0,135.0,396.0,4223.0
2011-08-01,2011-08,2011,2011Q3,513.0,50.0,73.0,390.0,4736.0
2011-09-01,2011-09,2011,2011Q3,617.0,109.0,97.0,411.0,5353.0
2011-10-01,2011-10,2011,2011Q4,483.0,40.0,55.0,388.0,5836.0
2011-11-01,2011-11,2011,2011Q4,616.0,45.0,103.0,468.0,6452.0
2011-12-01,2011-12,2011,2011Q4,542.0,63.0,68.0,411.0,6994.0
2012-01-01,2012-01,2012,2012Q1,352.0,59.0,63.0,230.0,6840.0
2012-02-01,2012-02,2012,2012Q1,388.0,32.0,76.0,280.0,6591.0
2012-03-01,2012-03,2012,2012Q1,391.0,32.0,72.0,287.0,6250.0
2012-04-01,2012-04,2012,2012Q2,347.0,16.0,55.0,276.0,5969.0
2012-05-01,2012-05,2012,2012Q2,390.0,31.0,65.0,294.0,5819.0
2012-06-01,2012-06,2012,2012Q2,380.0,29.0,74.0,277.0,5576.0
2012-07-01,2012-07,2012,2012Q3,365.0,24.0,48.0,293.0,5384.0
2012-08-01,2012-08,2012,2012Q3,463.0,54.0,109.0,300.0,5334.0
2012-09-01,2012-09,2012,2012Q3,377.0,15.0,87.0,275.0,5094.0
2012-10-01,2012-10,2012,2012Q4,498.0,54.0,110.0,334.0,5109.0
2012-11-01,2012-11,2012,2012Q4,481.0,40.0,106.0,335.0,4974.0
2012-12-01,2012-12,2012,2012Q4,479.0,60.0,99.0,320.0,4911.0
2013-01-01,2013-01,2013,2013Q1,266.0,30.0,52.0,184.0,4825.0
2013-02-01,2013-02,2013,2013Q1,289.0,28.0,53.0,208.0,4726.0
2013-03-01,2013-03,2013,2013Q1,334.0,19.0,69.0,246.0,4669.0
2013-04-01,2013-04,2013,2013Q2,341.0,15.0,80.0,246.0,4663.0
2013-05-01,2013-05,2013,2013Q2,375.0,36.0,77.0,262.0,4648.0
2013-06-01,2013-06,2013,2013Q2,430.0,93.0,124.0,213.0,4698.0
2013-07-01,2013-07,2013,2013Q3,345.0,12.0,98.0,235.0,4678.0
2013-08-01,2013-08,2013,2013Q3,319.0,7.0,67.0,245.0,4534.0
2013-09-01,2013-09,2013,2013Q3,369.0,20.0,102.0,247.0,4526.0
2013-10-01,2013-10,2013,2013Q4,465.0,24.0,163.0,278.0,4493.0
2013-11-01,2013-11,2013,2013Q4,552.0,90.0,158.0,304.0,4564.0
2013-12-01,2013-12,2013,2013Q4,490.0,99.0,112.0,279.0,4575.0
2014-01-01,2014-01,2014,2014Q1,351.0,71.0,76.0,204.0,4660.0
2014-02-01,2014-02,2014,2014Q1,357.0,77.0,114.0,166.0,4728.0
2014-03-01,2014-03,2014,2014Q1,386.0,12.0,119.0,255.0,4780.0
2014-04-01,2014-04,2014,2014Q2,414.0,93.0,106.0,215.0,4853.0
2014-05-01,2014-05,2014,2014Q2,486.0,96.0,123.0,267.0,4964.0
2014-06-01,2014-06,2014,2014Q2,418.0,52.0,136.0,230.0,4952.0
2014-07-01,2014-07,2014,2014Q3,451.0,27.0,157.0,267.0,5058.0
