date,period,series,region,property_type,index,pct_1m,pct_3m,pct_12m
2005-01-01,2005-01,Dublin - all residential properties,Dublin,All residential,118.5,,,
2005-01-01,2005-01,Dublin - apartments,Dublin,Apartments,144.0,,,
2005-01-01,2005-01,Dublin - houses,Dublin,Houses,112.0,,,
2005-01-01,2005-01,National - all residential properties,National,All residential,124.9,,,
2005-01-01,2005-01,National - apartments,National,Apartments,153.4,,,
2005-01-01,2005-01,National - houses,National,Houses,120.7,,,
2005-01-01,2005-01,National excluding Dublin - all residential properties,National excluding Dublin,All residential,142.1,,,
2005-01-01,2005-01,National excluding Dublin - apartments,National excluding Dublin,Apartments,200.3,,,
2005-01-01,2005-01,National excluding Dublin - houses,National excluding Dublin,Houses,139.0,,,
2005-02-01,2005-02,Dublin - all residential properties,Dublin,All residential,121.0,2.1,,
2005-02-01,2005-02,Dublin - apartments,Dublin,Apartments,148.8,3.3,,
2005-02-01,2005-02,Dublin - houses,Dublin,Houses,113.9,1.7,,
2005-02-01,2005-02,National - all residential properties,National,All residential,125.9,0.8,,
2005-02-01,2005-02,National - apartments,National,Apartments,153.8,0.2,,
2005-02-01,2005-02,National - houses,National,Houses,121.8,0.9,,
2005-02-01,2005-02,National excluding Dublin - all residential properties,National excluding Dublin,All residential,142.2,0.1,,
2005-02-01,2005-02,National excluding Dublin - apartments,National excluding Dublin,Apartments,188.6,-5.8,,
2005-02-01,2005-02,National excluding Dublin - houses,National excluding Dublin,Houses,139.7,0.6,,
2005-03-01,2005-03,Dublin - all residential properties,Dublin,All residential,121.9,0.7,,
2005-03-01,2005-03,Dublin - apartments,Dublin,Apartments,150.0,0.8,,
2005-03-01,2005-03,Dublin - houses,Dublin,Houses,114.9,0.9,,
2005-03-01,2005-03,National - all residential properties,National,All residential,126.6,0.6,,
2005-03-01,2005-03,National - apartments,National,Apartments,153.7,-0.1,,
2005-03-01,2005-03,National - houses,National,Houses,122.7,0.7,,
2005-03-01,2005-03,National excluding Dublin - all residential properties,National excluding Dublin,All residential,142.9,0.4,,
2005-03-01,2005-03,National excluding Dublin - apartments,National excluding Dublin,Apartments,184.4,-2.2,,
2005-03-01,2005-03,National excluding Dublin - houses,National excluding Dublin,Houses,140.5,0.6,,
2005-04-01,2005-04,Dublin - all residential properties,Dublin,All residential,122.7,0.7,3.6,
2005-04-01,2005-04,Dublin - apartments,Dublin,Apartments,150.1,0.0,4.2,
2005-04-01,2005-04,Dublin - houses,Dublin,Houses,116.2,1.1,3.7,
2005-04-01,2005-04,National - all residential properties,National,All residential,127.5,0.7,2.1,
2005-04-01,2005-04,National - apartments,National,Apartments,153.5,-0.1,0.0,
2005-04-01,2005-04,National - houses,National,Houses,123.7,0.8,2.4,
2005-04-01,2005-04,National excluding Dublin - all residential properties,National excluding Dublin,All residential,143.8,0.7,1.2,
2005-04-01,2005-04,National excluding Dublin - apartments,National excluding Dublin,Apartments,182.8,-0.9,-8.7,
2005-04-01,2005-04,National excluding Dublin - houses,National excluding Dublin,Houses,141.5,0.7,1.8,
2005-05-01,2005-05,Dublin - all residential properties,Dublin,All residential,123.7,0.7,2.2,
2005-05-01,2005-05,Dublin - apartments,Dublin,Apartments,150.1,0.0,0.8,
2005-05-01,2005-05,Dublin - houses,Dublin,Houses,117.4,1.1,3.1,
2005-05-01,2005-05,National - all residential properties,National,All residential,128.4,0.7,2.0,
2005-05-01,2005-05,National - apartments,National,Apartments,153.7,0.1,-0.1,
2005-05-01,2005-05,National - houses,National,Houses,124.6,0.8,2.3,
2005-05-01,2005-05,National excluding Dublin - all residential properties,National excluding Dublin,All residential,144.8,0.7,1.8,
2005-05-01,2005-05,National excluding Dublin - apartments,National excluding Dublin,Apartments,184.0,0.6,-2.5,
