year,tx_volume,tx_value_eur_000,tx_mean_price,tx_median_price,tx_value_eur_m,mean_price_new,median_price_new,mean_price_existing,median_price_existing
2010,18602.0,4745.7,255117.0,220000.0,4.7457,237771.0,212942.0,261751.0,220000.0
2011,15870.0,3592.7,226381.0,182500.0,3.5927,209281.0,181312.0,229967.0,184500.0
2012,22164.0,4514.6,203689.0,160000.0,4.514600000000001,194114.0,168000.0,205237.0,160000.0
2013,26563.0,5454.8,205352.0,150000.0,5.4548000000000005,182162.0,142000.0,208840.0,150000.0
2014,40847.0,8643.8,211614.0,157500.0,8.643799999999999,206006.0,160000.0,212466.0,157000.0
2015,45448.0,10099.3,222217.0,170000.0,10.0993,238097.0,182870.0,219637.0,168839.0
2016,46658.0,11484.9,246151.0,190000.0,11.4849,296298.0,261050.0,237102.0,180000.0
2017,51200.0,13756.1,268674.0,220000.0,13.7561,323803.0,297000.0,256274.0,200000.0
2018,54018.0,15493.5,286821.0,240000.0,15.4935,352432.0,321414.0,269385.0,215000.0
2019,58291.0,17011.6,291840.0,253500.0,17.011599999999998,353703.0,339998.0,273893.0,227000.0
2020,48858.0,14647.9,299805.0,260000.0,14.6479,365640.0,339000.0,278675.0,230000.0
2021,58057.0,18671.0,321598.0,275000.0,18.671,371628.0,331094.0,307862.0,250000.0
2022,63148.0,22385.3,354489.0,305263.0,22.3853,399174.0,379999.0,339572.0,275000.0
2023,62926.0,23330.7,370763.0,330000.0,23.3307,421995.0,392781.0,352742.0,290000.0
2024,61295.0,24659.4,402306.0,354120.0,24.6594,455320.0,415000.0,381618.0,319000.0
2025,63372.0,26910.5,424644.0,389332.0,26.9105,447621.0,430000.0,414056.0,350000.0
