year,dwelling_status,dwelling_type,mean_price,median_price,value_eur_000,volume,value_eur_m
2010,All Dwelling Statuses,All Dwelling Types,255117.0,220000.0,4745.7,18602.0,4.7457
2010,All Dwelling Statuses,Apartment,215227.0,195000.0,545.2,2533.0,0.5452
2010,All Dwelling Statuses,House,261405.0,222500.0,4200.5,16069.0,4.2005
2010,Existing,All Dwelling Types,261751.0,220000.0,3522.1,13456.0,3.5221
2010,Existing,Apartment,215354.0,190000.0,238.2,1106.0,0.2382
2010,Existing,House,265906.0,225000.0,3283.9,12350.0,3.2839
2010,New,All Dwelling Types,237771.0,212942.0,1223.6,5146.0,1.2235999999999998
2010,New,Apartment,215128.0,197653.0,307.0,1427.0,0.307
2010,New,House,246459.0,220110.0,916.6,3719.0,0.9166
2011,All Dwelling Statuses,All Dwelling Types,226381.0,182500.0,3592.7,15870.0,3.5927
2011,All Dwelling Statuses,Apartment,183544.0,163475.0,368.2,2006.0,0.36819999999999997
2011,All Dwelling Statuses,House,232579.0,189000.0,3224.5,13864.0,3.2245
2011,Existing,All Dwelling Types,229967.0,184500.0,3016.9,13119.0,3.0169
2011,Existing,Apartment,183372.0,154000.0,222.1,1211.0,0.2221
2011,Existing,House,234705.0,188000.0,2794.9,11908.0,2.7949
2011,New,All Dwelling Types,209281.0,181312.0,575.7,2751.0,0.5757000000000001
2011,New,Apartment,183805.0,165278.0,146.1,795.0,0.1461
2011,New,House,219636.0,192950.0,429.6,1956.0,0.42960000000000004
2012,All Dwelling Statuses,All Dwelling Types,203689.0,160000.0,4514.6,22164.0,4.514600000000001
2012,All Dwelling Statuses,Apartment,165555.0,150000.0,511.6,3090.0,0.5116
2012,All Dwelling Statuses,House,209867.0,164000.0,4003.0,19074.0,4.003
2012,Existing,All Dwelling Types,205237.0,160000.0,3915.7,19079.0,3.9156999999999997
2012,Existing,Apartment,161534.0,147250.0,372.2,2304.0,0.3722
2012,Existing,House,211240.0,161000.0,3543.5,16775.0,3.5435
2012,New,All Dwelling Types,194114.0,168000.0,598.8,3085.0,0.5988
2012,New,Apartment,177342.0,159450.0,139.4,786.0,0.1394
2012,New,House,199848.0,171385.0,459.5,2299.0,0.4595
2013,All Dwelling Statuses,All Dwelling Types,205352.0,150000.0,5454.8,26563.0,5.4548000000000005
2013,All Dwelling Statuses,Apartment,162283.0,125000.0,676.4,4168.0,0.6764
2013,All Dwelling Statuses,House,213367.0,155000.0,4778.4,22395.0,4.7783999999999995
2013,Existing,All Dwelling Types,208840.0,150000.0,4822.1,23090.0,4.822100000000001
2013,Existing,Apartment,162592.0,123500.0,553.8,3406.0,0.5538
2013,Existing,House,216842.0,155525.0,4268.3,19684.0,4.2683
2013,New,All Dwelling Types,182162.0,142000.0,632.6,3473.0,0.6326
2013,New,Apartment,160906.0,136252.0,122.6,762.0,0.1226
2013,New,House,188137.0,145001.0,510.0,2711.0,0.51
2014,All Dwelling Statuses,All Dwelling Types,211614.0,157500.0,8643.8,40847.0,8.643799999999999
2014,All Dwelling Statuses,Apartment,178383.0,144500.0,1393.0,7809.0,1.393
2014,All Dwelling Statuses,House,219469.0,160000.0,7250.8,33038.0,7.2508
2014,Existing,All Dwelling Types,212466.0,157000.0,7533.8,35459.0,7.5338
2014,Existing,Apartment,176388.0,145000.0,1150.6,6523.0,1.1505999999999998
2014,Existing,House,220599.0,160000.0,6383.3,28936.0,6.3833
2014,New,All Dwelling Types,206006.0,160000.0,1110.0,5388.0,1.11
2014,New,Apartment,188504.0,140394.0,242.4,1286.0,0.2424
2014,New,House,211493.0,169999.0,867.5,4102.0,0.8675
2015,All Dwelling Statuses,All Dwelling Types,222217.0,170000.0,10099.3,45448.0,10.0993
2015,All Dwelling Statuses,Apartment,189522.0,152941.0,1636.1,8633.0,1.6360999999999999
2015,All Dwelling Statuses,House,229884.0,175000.0,8463.2,36815.0,8.4632
2015,Existing,All Dwelling Types,219637.0,168839.0,8587.2,39097.0,8.587200000000001
2015,Existing,Apartment,188913.0,155000.0,1368.9,7246.0,1.3689
2015,Existing,House,226627.0,170000.0,7218.3,31851.0,7.2183
2015,New,All Dwelling Types,238097.0,182870.0,1512.2,6351.0,1.5122
2015,New,Apartment,192703.0,150713.0,267.3,1387.0,0.26730000000000004
2015,New,House,250780.0,204300.0,1244.9,4964.0,1.2449000000000001
2016,All Dwelling Statuses,All Dwelling Types,246151.0,190000.0,11484.9,46658.0,11.4849
2016,All Dwelling Statuses,Apartment,206203.0,174632.0,1821.2,8832.0,1.8212000000000002
2016,All Dwelling Statuses,House,255478.0,195000.0,9663.7,37826.0,9.6637
2016,Existing,All Dwelling Types,237102.0,180000.0,9371.7,39526.0,9.3717
2016,Existing,Apartment,199391.0,174316.0,1569.2,7870.0,1.5692000000000002
2016,Existing,House,246478.0,185000.0,7802.5,31656.0,7.8025
2016,New,All Dwelling Types,296298.0,261050.0,2113.2,7132.0,2.1132
2016,New,Apartment,261936.0,238350.0,252.0,962.0,0.252
2016,New,House,301656.0,265000.0,1861.2,6170.0,1.8612
