date,period,year,quarter,cpi,cpi_2015=100
1996-11-01,1996-11,1996,1996Q4,55.8,67.37774200040249
1996-12-01,1996-12,1996,1996Q4,55.8,67.37774200040249
1997-01-01,1997-01,1997,1997Q1,55.5,67.01549607566916
1997-02-01,1997-02,1997,1997Q1,55.8,67.37774200040249
1997-03-01,1997-03,1997,1997Q1,55.9,67.49849064198028
1997-04-01,1997-04,1997,1997Q2,55.9,67.49849064198028
1997-05-01,1997-05,1997,1997Q2,56.1,67.73998792513585
1997-06-01,1997-06,1997,1997Q2,56.3,67.9814852082914
1997-07-01,1997-07,1997,1997Q3,56.2,67.86073656671363
1997-08-01,1997-08,1997,1997Q3,56.1,67.73998792513585
1997-09-01,1997-09,1997,1997Q3,56.3,67.9814852082914
1997-10-01,1997-10,1997,1997Q4,56.5,68.22298249144697
1997-11-01,1997-11,1997,1997Q4,56.7,68.46447977460254
1997-12-01,1997-12,1997,1997Q4,56.9,68.7059770577581
1998-01-01,1998-01,1998,1998Q1,56.5,68.22298249144697
1998-02-01,1998-02,1998,1998Q1,56.8,68.58522841618033
1998-03-01,1998-03,1998,1998Q1,57.1,68.94747434091367
1998-04-01,1998-04,1998,1998Q2,57.3,69.18897162406923
1998-05-01,1998-05,1998,1998Q2,57.6,69.55121754880258
1998-06-01,1998-06,1998,1998Q2,57.8,69.79271483195814
1998-07-01,1998-07,1998,1998Q3,57.7,69.67196619038036
1998-08-01,1998-08,1998,1998Q3,57.8,69.79271483195814
1998-09-01,1998-09,1998,1998Q3,58.0,70.0342121151137
1998-10-01,1998-10,1998,1998Q4,58.1,70.15496075669148
1998-11-01,1998-11,1998,1998Q4,57.9,69.91346347353591
1998-12-01,1998-12,1998,1998Q4,57.8,69.79271483195814
1999-01-01,1999-01,1999,1999Q1,57.4,69.30972026564702
1999-02-01,1999-02,1999,1999Q1,57.7,69.67196619038036
1999-03-01,1999-03,1999,1999Q1,57.9,69.91346347353591
1999-04-01,1999-04,1999,1999Q2,58.1,70.15496075669148
1999-05-01,1999-05,1999,1999Q2,58.4,70.51720668142484
1999-06-01,1999-06,1999,1999Q2,58.6,70.7587039645804
1999-07-01,1999-07,1999,1999Q3,58.4,70.51720668142484
1999-08-01,1999-08,1999,1999Q3,58.7,70.87945260615818
1999-09-01,1999-09,1999,1999Q3,58.9,71.12094988931375
1999-10-01,1999-10,1999,1999Q4,59.0,71.24169853089153
1999-11-01,1999-11,1999,1999Q4,59.1,71.36244717246932
1999-12-01,1999-12,1999,1999Q4,59.8,72.20768766351378
2000-01-01,2000-01,2000,2000Q1,59.6,71.96619038035823
2000-02-01,2000-02,2000,2000Q1,60.1,72.56993358824714
2000-03-01,2000-03,2000,2000Q1,60.6,73.17367679613605
2000-04-01,2000-04,2000,2000Q2,61.0,73.65667136244718
2000-05-01,2000-05,2000,2000Q2,61.4,74.1396659287583
2000-06-01,2000-06,2000,2000Q2,61.8,74.62266049506943
2000-07-01,2000-07,2000,2000Q3,62.0,74.86415777822499
2000-08-01,2000-08,2000,2000Q3,62.3,75.22640370295835
2000-09-01,2000-09,2000,2000Q3,62.6,75.5886496276917
2000-10-01,2000-10,2000,2000Q4,63.0,76.07164419400281
2000-11-01,2000-11,2000,2000Q4,63.2,76.31314147715838
2000-12-01,2000-12,2000,2000Q4,63.3,76.43389011873617
2001-01-01,2001-01,2001,2001Q1,62.7,75.70939826926949
2001-02-01,2001-02,2001,2001Q1,63.3,76.43389011873617
2001-03-01,2001-03,2001,2001Q1,63.9,77.15838196820286
2001-04-01,2001-04,2001,2001Q2,64.4,77.76212517609179
2001-05-01,2001-05,2001,2001Q2,64.8,78.2451197424029
2001-06-01,2001-06,2001,2001Q2,65.1,78.60736566713624
2001-07-01,2001-07,2001,2001Q3,65.0,78.48661702555847
2001-08-01,2001-08,2001,2001Q3,65.2,78.72811430871404
2001-09-01,2001-09,2001,2001Q3,65.4,78.96961159186961
2001-10-01,2001-10,2001,2001Q4,65.7,79.33185751660294
2001-11-01,2001-11,2001,2001Q4,65.6,79.21110887502515
2001-12-01,2001-12,2001,2001Q4,65.9,79.5733547997585
2002-01-01,2002-01,2002,2002Q1,65.9,79.5733547997585
2002-02-01,2002-02,2002,2002Q1,66.3,80.05634936606964
2002-03-01,2002-03,2002,2002Q1,66.9,80.78084121553634
2002-04-01,2002-04,2002,2002Q2,67.5,81.50533306500303
2002-05-01,2002-05,2002,2002Q2,67.9,81.98832763131416
2002-06-01,2002-06,2002,2002Q2,68.0,82.10907627289194
2002-07-01,2002-07,2002,2002Q3,67.7,81.7468303481586
2002-08-01,2002-08,2002,2002Q3,68.1,82.2298249144697
2002-09-01,2002-09,2002,2002Q3,68.4,82.59207083920307
2002-10-01,2002-10,2002,2002Q4,68.8,83.0750654055142
2002-11-01,2002-11,2002,2002Q4,68.8,83.0750654055142
2002-12-01,2002-12,2002,2002Q4,69.3,83.6788086134031
2003-01-01,2003-01,2003,2003Q1,69.1,83.43731133024754
2003-02-01,2003-02,2003,2003Q1,69.7,84.16180317971424
2003-03-01,2003-03,2003,2003Q1,70.2,84.76554638760315
2003-04-01,2003-04,2003,2003Q2,70.4,85.00704367075872
2003-05-01,2003-05,2003,2003Q2,70.4,85.00704367075872
2003-06-01,2003-06,2003,2003Q2,70.4,85.00704367075872
2003-07-01,2003-07,2003,2003Q3,69.9,84.40330046286981
2003-08-01,2003-08,2003,2003Q3,70.3,84.88629502918093
2003-09-01,2003-09,2003,2003Q3,70.4,85.00704367075872
2003-10-01,2003-10,2003,2003Q4,70.3,84.88629502918093
2003-11-01,2003-11,2003,2003Q4,70.3,84.88629502918093
2003-12-01,2003-12,2003,2003Q4,70.6,85.24854095391426
2004-01-01,2004-01,2004,2004Q1,70.3,84.88629502918093
2004-02-01,2004-02,2004,2004Q1,70.9,85.61078687864763
2004-03-01,2004-03,2004,2004Q1,71.2,85.97303280338096
2004-04-01,2004-04,2004,2004Q2,71.5,86.33527872811432
2004-05-01,2004-05,2004,2004Q2,71.7,86.57677601126989
2004-06-01,2004-06,2004,2004Q2,72.1,87.05977057758099
2004-07-01,2004-07,2004,2004Q3,71.9,86.81827329442545
2004-08-01,2004-08,2004,2004Q3,72.4,87.42201650231436
2004-09-01,2004-09,2004,2004Q3,72.4,87.42201650231436
2004-10-01,2004-10,2004,2004Q4,72.4,87.42201650231436
2004-11-01,2004-11,2004,2004Q4,72.5,87.54276514389213
2004-12-01,2004-12,2004,2004Q4,72.5,87.54276514389213
2005-01-01,2005-01,2005,2005Q1,71.9,86.81827329442545
2005-02-01,2005-02,2005,2005Q1,72.5,87.54276514389213
2005-03-01,2005-03,2005,2005Q1,72.8,87.90501106862548
2005-04-01,2005-04,2005,2005Q2,73.2,88.38800563493662
2005-05-01,2005-05,2005,2005Q2,73.4,88.62950291809219
2005-06-01,2005-06,2005,2005Q2,73.7,88.99174884282553
2005-07-01,2005-07,2005,2005Q3,73.7,88.99174884282553
2005-08-01,2005-08,2005,2005Q3,74.1,89.47474340913665
2005-09-01,2005-09,2005,2005Q3,74.6,90.07848661702556
2005-10-01,2005-10,2005,2005Q4,74.6,90.07848661702556
2005-11-01,2005-11,2005,2005Q4,74.5,89.95773797544778
2005-12-01,2005-12,2005,2005Q4,74.4,89.83698933387001
2006-01-01,2006-01,2006,2006Q1,74.2,89.59549205071443
2006-02-01,2006-02,2006,2006Q1,75.0,90.5614811833367
2006-03-01,2006-03,2006,2006Q1,75.4,91.04447574964783
2006-04-01,2006-04,2006,2006Q2,76.0,91.76896759911452
2006-05-01,2006-05,2006,2006Q2,76.4,92.25196216542565
2006-06-01,2006-06,2006,2006Q2,76.7,92.614208090159
2006-07-01,2006-07,2006,2006Q3,76.9,92.85570537331455
2006-08-01,2006-08,2006,2006Q3,77.5,93.58019722278125
2006-09-01,2006-09,2006,2006Q3,77.7,93.82169450593682
2006-10-01,2006-10,2006,2006Q4,77.6,93.70094586435901
2006-11-01,2006-11,2006,2006Q4,77.9,94.06319178909239
2006-12-01,2006-12,2006,2006Q4,78.2,94.42543771382572
2007-01-01,2007-01,2007,2007Q1,78.0,94.18394043067015
2007-02-01,2007-02,2007,2007Q1,78.7,95.02918092171464
2007-03-01,2007-03,2007,2007Q1,79.2,95.63292412960355
2007-04-01,2007-04,2007,2007Q2,79.9,96.47816462064803
2007-05-01,2007-05,2007,2007Q2,80.2,96.84041054538137
2007-06-01,2007-06,2007,2007Q2,80.4,97.08190782853694
2007-07-01,2007-07,2007,2007Q3,80.6,97.3234051116925
2007-08-01,2007-08,2007,2007Q3,80.9,97.68565103642585
2007-09-01,2007-09,2007,2007Q3,81.2,98.0478969611592
2007-10-01,2007-10,2007,2007Q4,81.3,98.16864560273697
2007-11-01,2007-11,2007,2007Q4,81.7,98.65164016904811
2007-12-01,2007-12,2007,2007Q4,81.8,98.77238881062588
2008-01-01,2008-01,2008,2008Q1,81.4,98.28939424431476
2008-02-01,2008-02,2008,2008Q1,82.4,99.49688066009259
2008-03-01,2008-03,2008,2008Q1,83.2,100.46286979271484
2008-04-01,2008-04,2008,2008Q2,83.3,100.58361843429262
2008-05-01,2008-05,2008,2008Q2,83.9,101.30811028375932
2008-06-01,2008-06,2008,2008Q2,84.3,101.79110485007044
2008-07-01,2008-07,2008,2008Q3,84.1,101.54960756691487
2008-08-01,2008-08,2008,2008Q3,84.5,102.032602133226
2008-09-01,2008-09,2008,2008Q3,84.7,102.27409941638157
2008-10-01,2008-10,2008,2008Q4,84.5,102.032602133226
2008-11-01,2008-11,2008,2008Q4,83.8,101.18736164218151
2008-12-01,2008-12,2008,2008Q4,82.7,99.85912658482593
2009-01-01,2009-01,2009,2009Q1,81.4,98.28939424431476
2009-02-01,2009-02,2009,2009Q1,81.1,97.9271483195814
2009-03-01,2009-03,2009,2009Q1,81.0,97.80639967800363
2009-04-01,2009-04,2009,2009Q2,80.4,97.08190782853694
2009-05-01,2009-05,2009,2009Q2,80.0,96.5989132622258
2009-06-01,2009-06,2009,2009Q2,79.8,96.35741597907024
2009-07-01,2009-07,2009,2009Q3,79.2,95.63292412960355
2009-08-01,2009-08,2009,2009Q3,79.5,95.9951700543369
2009-09-01,2009-09,2009,2009Q3,79.2,95.63292412960355
2009-10-01,2009-10,2009,2009Q4,79.0,95.39142684644798
2009-11-01,2009-11,2009,2009Q4,79.0,95.39142684644798
2009-12-01,2009-12,2009,2009Q4,78.6,94.90843228013685
2010-01-01,2010-01,2010,2010Q1,78.2,94.42543771382572
2010-02-01,2010-02,2010,2010Q1,78.5,94.78768363855907
2010-03-01,2010-03,2010,2010Q1,78.6,94.90843228013685
2010-04-01,2010-04,2010,2010Q2,78.7,95.02918092171464
2010-05-01,2010-05,2010,2010Q2,79.2,95.63292412960355
2010-06-01,2010-06,2010,2010Q2,79.1,95.51217548802575
2010-07-01,2010-07,2010,2010Q3,79.1,95.51217548802575
2010-08-01,2010-08,2010,2010Q3,79.7,96.23666733749246
2010-09-01,2010-09,2010,2010Q3,79.5,95.9951700543369
2010-10-01,2010-10,2010,2010Q4,79.6,96.11591869591467
2010-11-01,2010-11,2010,2010Q4,79.5,95.9951700543369
2010-12-01,2010-12,2010,2010Q4,79.7,96.23666733749246
2011-01-01,2011-01,2011,2011Q1,79.5,95.9951700543369
2011-02-01,2011-02,2011,2011Q1,80.2,96.84041054538137
2011-03-01,2011-03,2011,2011Q1,80.9,97.68565103642585
2011-04-01,2011-04,2011,2011Q2,81.2,98.0478969611592
2011-05-01,2011-05,2011,2011Q2,81.3,98.16864560273697
2011-06-01,2011-06,2011,2011Q2,81.2,98.0478969611592
2011-07-01,2011-07,2011,2011Q3,81.2,98.0478969611592
2011-08-01,2011-08,2011,2011Q3,81.3,98.16864560273697
2011-09-01,2011-09,2011,2011Q3,81.6,98.53089152747032
2011-10-01,2011-10,2011,2011Q4,81.8,98.77238881062588
2011-11-01,2011-11,2011,2011Q4,81.8,98.77238881062588
2011-12-01,2011-12,2011,2011Q4,81.6,98.53089152747032
2012-01-01,2012-01,2012,2012Q1,81.2,98.0478969611592
2012-02-01,2012-02,2012,2012Q1,81.9,98.89313745220367
2012-03-01,2012-03,2012,2012Q1,82.7,99.85912658482593
2012-04-01,2012-04,2012,2012Q2,82.8,99.9798752264037
2012-05-01,2012-05,2012,2012Q2,82.7,99.85912658482593
2012-06-01,2012-06,2012,2012Q2,82.6,99.73837794324814
2012-07-01,2012-07,2012,2012Q3,82.5,99.61762930167036
2012-08-01,2012-08,2012,2012Q3,83.0,100.22137250955927
2012-09-01,2012-09,2012,2012Q3,82.9,100.10062386798148
2012-10-01,2012-10,2012,2012Q4,82.8,99.9798752264037
2012-11-01,2012-11,2012,2012Q4,82.5,99.61762930167036
2012-12-01,2012-12,2012,2012Q4,82.5,99.61762930167036
2013-01-01,2013-01,2013,2013Q1,82.2,99.25538337693702
2013-02-01,2013-02,2013,2013Q1,82.8,99.9798752264037
2013-03-01,2013-03,2013,2013Q1,83.2,100.46286979271484
2013-04-01,2013-04,2013,2013Q2,83.2,100.46286979271484
2013-05-01,2013-05,2013,2013Q2,83.1,100.34212115113705
2013-06-01,2013-06,2013,2013Q2,83.1,100.34212115113705
2013-07-01,2013-07,2013,2013Q3,83.1,100.34212115113705
2013-08-01,2013-08,2013,2013Q3,83.1,100.34212115113705
2013-09-01,2013-09,2013,2013Q3,83.0,100.22137250955927
2013-10-01,2013-10,2013,2013Q4,82.9,100.10062386798148
2013-11-01,2013-11,2013,2013Q4,82.8,99.9798752264037
2013-12-01,2013-12,2013,2013Q4,82.7,99.85912658482593
2014-01-01,2014-01,2014,2014Q1,82.3,99.3761320185148
