date,period,year,quarter,series,region,property_type,pct_1m,pct_12m,pct_3m,index
2005-01-01,2005-01,2005,2005Q1,Dublin - all residential properties,Dublin,All residential,,,,118.5
2005-01-01,2005-01,2005,2005Q1,Dublin - apartments,Dublin,Apartments,,,,144.0
2005-01-01,2005-01,2005,2005Q1,Dublin - houses,Dublin,Houses,,,,112.0
2005-01-01,2005-01,2005,2005Q1,National - all residential properties,National,All residential,,,,124.9
2005-01-01,2005-01,2005,2005Q1,National - apartments,National,Apartments,,,,153.4
2005-01-01,2005-01,2005,2005Q1,National - houses,National,Houses,,,,120.7
2005-01-01,2005-01,2005,2005Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,,,,142.1
2005-01-01,2005-01,2005,2005Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,,,,200.3
2005-01-01,2005-01,2005,2005Q1,National excluding Dublin - houses,National excluding Dublin,Houses,,,,139.0
2005-02-01,2005-02,2005,2005Q1,Dublin - all residential properties,Dublin,All residential,2.1,,,121.0
2005-02-01,2005-02,2005,2005Q1,Dublin - apartments,Dublin,Apartments,3.3,,,148.8
2005-02-01,2005-02,2005,2005Q1,Dublin - houses,Dublin,Houses,1.7,,,113.9
2005-02-01,2005-02,2005,2005Q1,National - all residential properties,National,All residential,0.8,,,125.9
2005-02-01,2005-02,2005,2005Q1,National - apartments,National,Apartments,0.2,,,153.8
2005-02-01,2005-02,2005,2005Q1,National - houses,National,Houses,0.9,,,121.8
2005-02-01,2005-02,2005,2005Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.1,,,142.2
2005-02-01,2005-02,2005,2005Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,-5.8,,,188.6
2005-02-01,2005-02,2005,2005Q1,National excluding Dublin - houses,National excluding Dublin,Houses,0.6,,,139.7
2005-03-01,2005-03,2005,2005Q1,Dublin - all residential properties,Dublin,All residential,0.7,,,121.9
2005-03-01,2005-03,2005,2005Q1,Dublin - apartments,Dublin,Apartments,0.8,,,150.0
2005-03-01,2005-03,2005,2005Q1,Dublin - houses,Dublin,Houses,0.9,,,114.9
2005-03-01,2005-03,2005,2005Q1,National - all residential properties,National,All residential,0.6,,,126.6
2005-03-01,2005-03,2005,2005Q1,National - apartments,National,Apartments,-0.1,,,153.7
2005-03-01,2005-03,2005,2005Q1,National - houses,National,Houses,0.7,,,122.7
2005-03-01,2005-03,2005,2005Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.4,,,142.9
2005-03-01,2005-03,2005,2005Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,-2.2,,,184.4
2005-03-01,2005-03,2005,2005Q1,National excluding Dublin - houses,National excluding Dublin,Houses,0.6,,,140.5
2005-04-01,2005-04,2005,2005Q2,Dublin - all residential properties,Dublin,All residential,0.7,,3.6,122.7
2005-04-01,2005-04,2005,2005Q2,Dublin - apartments,Dublin,Apartments,0.0,,4.2,150.1
2005-04-01,2005-04,2005,2005Q2,Dublin - houses,Dublin,Houses,1.1,,3.7,116.2
2005-04-01,2005-04,2005,2005Q2,National - all residential properties,National,All residential,0.7,,2.1,127.5
2005-04-01,2005-04,2005,2005Q2,National - apartments,National,Apartments,-0.1,,0.0,153.5
2005-04-01,2005-04,2005,2005Q2,National - houses,National,Houses,0.8,,2.4,123.7
2005-04-01,2005-04,2005,2005Q2,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.7,,1.2,143.8
2005-04-01,2005-04,2005,2005Q2,National excluding Dublin - apartments,National excluding Dublin,Apartments,-0.9,,-8.7,182.8
2005-04-01,2005-04,2005,2005Q2,National excluding Dublin - houses,National excluding Dublin,Houses,0.7,,1.8,141.5
2005-05-01,2005-05,2005,2005Q2,Dublin - all residential properties,Dublin,All residential,0.7,,2.2,123.7
2005-05-01,2005-05,2005,2005Q2,Dublin - apartments,Dublin,Apartments,0.0,,0.8,150.1
2005-05-01,2005-05,2005,2005Q2,Dublin - houses,Dublin,Houses,1.1,,3.1,117.4
2005-05-01,2005-05,2005,2005Q2,National - all residential properties,National,All residential,0.7,,2.0,128.4
2005-05-01,2005-05,2005,2005Q2,National - apartments,National,Apartments,0.1,,-0.1,153.7
2005-05-01,2005-05,2005,2005Q2,National - houses,National,Houses,0.8,,2.3,124.6
2005-05-01,2005-05,2005,2005Q2,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.7,,1.8,144.8
2005-05-01,2005-05,2005,2005Q2,National excluding Dublin - apartments,National excluding Dublin,Apartments,0.6,,-2.5,184.0
2005-05-01,2005-05,2005,2005Q2,National excluding Dublin - houses,National excluding Dublin,Houses,0.7,,1.9,142.5
2005-06-01,2005-06,2005,2005Q2,Dublin - all residential properties,Dublin,All residential,0.1,,1.6,123.8
2005-06-01,2005-06,2005,2005Q2,Dublin - apartments,Dublin,Apartments,-0.5,,-0.4,149.4
2005-06-01,2005-06,2005,2005Q2,Dublin - houses,Dublin,Houses,0.3,,2.4,117.7
2005-06-01,2005-06,2005,2005Q2,National - all residential properties,National,All residential,0.9,,2.3,129.5
2005-06-01,2005-06,2005,2005Q2,National - apartments,National,Apartments,-0.3,,-0.3,153.2
2005-06-01,2005-06,2005,2005Q2,National - houses,National,Houses,1.1,,2.7,126.0
2005-06-01,2005-06,2005,2005Q2,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.3,,2.7,146.7
2005-06-01,2005-06,2005,2005Q2,National excluding Dublin - apartments,National excluding Dublin,Apartments,-0.2,,-0.5,183.6
2005-06-01,2005-06,2005,2005Q2,National excluding Dublin - houses,National excluding Dublin,Houses,1.5,,2.8,144.5
