date,period,year,quarter,area,value
2011-01-01,2011-Q%q,2011,2011Q1,Ireland,1875.0
2011-01-01,2011-Q%q,2011,2011Q1,Cork City Council,39.0
2011-01-01,2011-Q%q,2011,2011Q1,Clare County Council,52.0
2011-01-01,2011-Q%q,2011,2011Q1,Cavan County Council,61.0
2011-01-01,2011-Q%q,2011,2011Q1,Cork County Council,168.0
2011-01-01,2011-Q%q,2011,2011Q1,Carlow County Council,17.0
2011-01-01,2011-Q%q,2011,2011Q1,Dublin City Council,72.0
2011-01-01,2011-Q%q,2011,2011Q1,Dún Laoghaire Rathdown County Council,30.0
2011-01-01,2011-Q%q,2011,2011Q1,Donegal County Council,118.0
2011-01-01,2011-Q%q,2011,2011Q1,Fingal County Council,144.0
2011-01-01,2011-Q%q,2011,2011Q1,Galway County Council,93.0
2011-01-01,2011-Q%q,2011,2011Q1,Galway City Council,15.0
2011-01-01,2011-Q%q,2011,2011Q1,Kildare County Council,126.0
2011-01-01,2011-Q%q,2011,2011Q1,Kilkenny County Council,40.0
2011-01-01,2011-Q%q,2011,2011Q1,Kerry County Council,62.0
2011-01-01,2011-Q%q,2011,2011Q1,Longford County Council,11.0
2011-01-01,2011-Q%q,2011,2011Q1,Louth County Council,48.0
2011-01-01,2011-Q%q,2011,2011Q1,Limerick City & County Council,54.0
2011-01-01,2011-Q%q,2011,2011Q1,Leitrim County Council,42.0
2011-01-01,2011-Q%q,2011,2011Q1,Laois County Council,34.0
2011-01-01,2011-Q%q,2011,2011Q1,Meath County Council,70.0
2011-01-01,2011-Q%q,2011,2011Q1,Monaghan County Council,26.0
2011-01-01,2011-Q%q,2011,2011Q1,Mayo County Council,67.0
2011-01-01,2011-Q%q,2011,2011Q1,Offaly County Council,28.0
2011-01-01,2011-Q%q,2011,2011Q1,Roscommon County Council,26.0
2011-01-01,2011-Q%q,2011,2011Q1,South Dublin County Council,41.0
2011-01-01,2011-Q%q,2011,2011Q1,Sligo County Council,52.0
2011-01-01,2011-Q%q,2011,2011Q1,Tipperary County Council,63.0
2011-01-01,2011-Q%q,2011,2011Q1,Waterford City & County Council,96.0
2011-01-01,2011-Q%q,2011,2011Q1,Westmeath County Council,33.0
2011-01-01,2011-Q%q,2011,2011Q1,Wicklow County Council,74.0
2011-01-01,2011-Q%q,2011,2011Q1,Wexford County Council,73.0
2011-04-01,2011-Q%q,2011,2011Q2,Ireland,1791.0
2011-04-01,2011-Q%q,2011,2011Q2,Cork City Council,36.0
2011-04-01,2011-Q%q,2011,2011Q2,Clare County Council,49.0
2011-04-01,2011-Q%q,2011,2011Q2,Cavan County Council,28.0
2011-04-01,2011-Q%q,2011,2011Q2,Cork County Council,200.0
2011-04-01,2011-Q%q,2011,2011Q2,Carlow County Council,24.0
2011-04-01,2011-Q%q,2011,2011Q2,Dublin City Council,109.0
2011-04-01,2011-Q%q,2011,2011Q2,Dún Laoghaire Rathdown County Council,68.0
2011-04-01,2011-Q%q,2011,2011Q2,Donegal County Council,139.0
2011-04-01,2011-Q%q,2011,2011Q2,Fingal County Council,134.0
2011-04-01,2011-Q%q,2011,2011Q2,Galway County Council,108.0
2011-04-01,2011-Q%q,2011,2011Q2,Galway City Council,17.0
2011-04-01,2011-Q%q,2011,2011Q2,Kildare County Council,42.0
2011-04-01,2011-Q%q,2011,2011Q2,Kilkenny County Council,50.0
2011-04-01,2011-Q%q,2011,2011Q2,Kerry County Council,67.0
2011-04-01,2011-Q%q,2011,2011Q2,Longford County Council,14.0
2011-04-01,2011-Q%q,2011,2011Q2,Louth County Council,53.0
2011-04-01,2011-Q%q,2011,2011Q2,Limerick City & County Council,49.0
2011-04-01,2011-Q%q,2011,2011Q2,Leitrim County Council,13.0
2011-04-01,2011-Q%q,2011,2011Q2,Laois County Council,33.0
2011-04-01,2011-Q%q,2011,2011Q2,Meath County Council,64.0
2011-04-01,2011-Q%q,2011,2011Q2,Monaghan County Council,21.0
2011-04-01,2011-Q%q,2011,2011Q2,Mayo County Council,59.0
2011-04-01,2011-Q%q,2011,2011Q2,Offaly County Council,36.0
2011-04-01,2011-Q%q,2011,2011Q2,Roscommon County Council,54.0
2011-04-01,2011-Q%q,2011,2011Q2,South Dublin County Council,16.0
2011-04-01,2011-Q%q,2011,2011Q2,Sligo County Council,34.0
2011-04-01,2011-Q%q,2011,2011Q2,Tipperary County Council,94.0
2011-04-01,2011-Q%q,2011,2011Q2,Waterford City & County Council,29.0
2011-04-01,2011-Q%q,2011,2011Q2,Westmeath County Council,37.0
